layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	cc:preconj	ccomp	compound	compound:prt	conj	cop	csubj	csubj:pass	dep	det	det:predet	discourse	expl	fixed	flat	flat:foreign	goeswith	iobj	list	mark	nmod	nmod:npmod	nmod:poss	nmod:tmod	nsubj	nsubj:pass	nummod	obj	obl	obl:npmod	obl:tmod	orphan	parataxis	reparandum	vocative	xcomp
0	en	ru	1	0.4119	0.4715	0.3329	0.813	0.7588	0.211	0.8609	0.7522	0.9238	0.97	0.4615	0.5139	0.5137	0.7795	0.2909	0.8579	0.069	0	0	0.9688	0.303	0.5682	0.7874	0.9375	0.5805	0	0	0.6087	0.0752	0.8249	0.4436	0.1429	0.8855	0.6452	0.7218	0.1818	0.755	0.5687	0.4374	0.5352	0.5128	0	0.0095	0	0.1818	0.5852
1	en	ru	1	0.6747	0.767	0.6631	0.862	0.8153	0.4684	0.9259	0.7589	0.9534	0.9708	0.6667	0.6737	0.7386	0.8432	0.7323	0.906	0.4118	0	0	0.9858	0.8718	0.5922	0.8092	0.9524	0.7343	0	0.2857	0.6857	0.5995	0.9145	0.8069	0.2353	0.9229	0.7385	0.8955	0.6448	0.8063	0.8473	0.7867	0.5507	0.688	0	0.1446	0	0.2609	0.7697
2	en	ru	1	0.6978	0.7837	0.6986	0.8501	0.8129	0.4417	0.9391	0.7619	0.9484	0.9688	0.4286	0.7172	0.7572	0.7586	0.8251	0.9117	0.3636	0	0	0.9812	0.8108	0.6	0.8448	0.9194	0.7236	0	0.2609	0.6765	0.5623	0.92	0.8182	0.2667	0.9214	0.7879	0.911	0.6556	0.8065	0.8456	0.7947	0.5714	0.7	0	0.3636	0	0.4	0.757
3	en	ru	1	0.6628	0.801	0.7177	0.8772	0.8197	0.4869	0.9465	0.807	0.9623	0.9696	0.8235	0.7527	0.7568	0.7886	0.8163	0.9227	0.3415	0	0	0.9861	0.85	0.631	0.8525	0.9606	0.7754	0	0.2581	0.6377	0.6635	0.9461	0.8392	0.2667	0.9191	0.7941	0.9249	0.7213	0.8315	0.8633	0.8147	0.4932	0.6929	0	0.3557	0	0.3571	0.7988
4	en	ru	1	0.7052	0.8482	0.7661	0.8505	0.8253	0.5606	0.9319	0.7782	0.9673	0.9688	0.6154	0.7588	0.783	0.7667	0.8586	0.9134	0.2	0	0	0.9835	0.8372	0.6211	0.8413	0.95	0.7839	0	0.2222	0.7671	0.6756	0.9437	0.8657	0.3529	0.9323	0.7042	0.9321	0.733	0.8375	0.8992	0.8292	0.4324	0.688	0	0.4492	0	0.5161	0.7932
0	en	ru	2	0.4201	0.4691	0.2983	0.8148	0.7573	0.251	0.8601	0.7644	0.9286	0.9687	0.4	0.5072	0.5103	0.7979	0.308	0.846	0.1667	0	0	0.9706	0.5385	0.5349	0.7966	0.9449	0.5732	0	0	0.4727	0.0902	0.8326	0.4507	0.1429	0.9001	0.6563	0.7293	0.2238	0.7607	0.5753	0.4169	0.5205	0.4	0	0.0095	0	0	0.5659
1	en	ru	2	0.6523	0.7624	0.6427	0.8604	0.8148	0.4591	0.932	0.7349	0.9538	0.9701	0.5714	0.6549	0.7406	0.8156	0.7363	0.9125	0.3	0	0	0.9867	0.8571	0.6129	0.8618	0.96	0.695	0	0.1429	0.6364	0.5246	0.9162	0.7955	0.25	0.9188	0.697	0.899	0.631	0.795	0.8348	0.7923	0.525	0.6897	0	0.1606	0	0.2609	0.754
2	en	ru	2	0.6957	0.7696	0.6713	0.8608	0.7946	0.4545	0.9365	0.7554	0.9558	0.9723	0.6667	0.7069	0.7357	0.7684	0.8232	0.908	0.2857	0	0	0.9807	0.7895	0.6533	0.8235	0.928	0.7447	0	0.4	0.64	0.5781	0.9282	0.8169	0.1333	0.9159	0.6667	0.9099	0.6386	0.7825	0.8432	0.7972	0.5333	0.6774	0	0.3676	0	0.2609	0.7486
3	en	ru	2	0.6787	0.7942	0.6987	0.8767	0.821	0.4668	0.9437	0.7982	0.9618	0.9683	0.5	0.7651	0.77	0.8068	0.8214	0.9159	0.3684	0	0	0.9843	0.8085	0.6702	0.8618	0.9672	0.7623	0	0.4848	0.7105	0.6729	0.9422	0.8297	0.25	0.9275	0.6585	0.9224	0.6744	0.8382	0.8742	0.8204	0.4789	0.7154	0	0.411	0	0.3077	0.7902
4	en	ru	2	0.7227	0.8462	0.7674	0.8541	0.8265	0.546	0.9303	0.7773	0.9667	0.9687	0.4615	0.7648	0.7939	0.7802	0.8505	0.906	0.3243	0	0	0.9861	0.8571	0.6289	0.8504	0.9431	0.7969	0	0.1714	0.7353	0.6139	0.9425	0.8614	0.25	0.9339	0.7222	0.9299	0.7179	0.8258	0.8982	0.8294	0.4324	0.6774	0	0.4686	0	0.5	0.7941
