layer	source	target	run	dist1	dist2	dist3	dist4	dist5	dist6-7	dist8-10	dist10-
0	en	ru	3	0.8199167932	0.8048274841	0.7799822328	0.7335276968	0.7060606061	0.724471831	0.6883259912	0.7526793075
0	en	zh	3	0.8222280922	0.8082333778	0.7850162866	0.7306122449	0.7323232323	0.7403169014	0.7268722467	0.7675185491
0	en	en	3	0.77996434	0.7676588183	0.73911756	0.689212828	0.6606060606	0.6822183099	0.6828193833	0.7254740313
1	en	ar	3	0.9457835303	0.9343995261	0.9164939295	0.87696793	0.8737373737	0.875	0.8579295154	0.8845836768
1	en	es	3	0.9463778644	0.9406189842	0.9277465206	0.9014577259	0.8818181818	0.8855633803	0.8755506608	0.9068425392
1	en	fr	3	0.9460476788	0.9256626684	0.9126443589	0.8857142857	0.8707070707	0.8714788732	0.8535242291	0.8779884584
1	en	ru	3	0.9372647428	0.9301051385	0.9200473793	0.8827988338	0.8666666667	0.8732394366	0.8557268722	0.8895300907
1	en	zh	3	0.9374628541	0.9323263735	0.9179745336	0.8932944606	0.8565656566	0.8741197183	0.8744493392	0.8953009068
1	en	en	3	0.8941425081	0.8396268325	0.8134438851	0.7556851312	0.7414141414	0.7455985915	0.7213656388	0.7996702391
2	en	ar	3	0.9486231262	0.9450614542	0.9434409239	0.9224489796	0.9060606061	0.9207746479	0.9074889868	0.9414674361
2	en	es	3	0.9509344251	0.9472826892	0.9407758365	0.9137026239	0.9060606061	0.9093309859	0.9107929515	0.9258037923
2	en	fr	3	0.9540381695	0.9441729602	0.9419603198	0.9259475219	0.9111111111	0.9110915493	0.8964757709	0.93569662
2	en	ru	3	0.9375949284	0.9352880201	0.9283387622	0.9160349854	0.895959596	0.900528169	0.8942731278	0.9282769992
2	en	zh	3	0.9346892954	0.9360284318	0.9333728161	0.9177842566	0.902020202	0.9022887324	0.9030837004	0.9233305853
2	en	en	3	0.8982368091	0.8652450763	0.828249926	0.7807580175	0.7686868687	0.7702464789	0.7643171806	0.7988458368
3	en	ar	3	0.9511325365	0.9481711832	0.9496594611	0.9341107872	0.9232323232	0.9322183099	0.9262114537	0.943940643
3	en	es	3	0.9543023179	0.9495039242	0.9499555819	0.9370262391	0.9323232323	0.923415493	0.9262114537	0.94641385
3	en	fr	3	0.9535759097	0.9502443359	0.9452176488	0.932361516	0.9242424242	0.9181338028	0.9151982379	0.9455894477
3	en	ru	3	0.9471042726	0.9422478898	0.9410719574	0.932361516	0.9111111111	0.9198943662	0.8986784141	0.9406430338
3	en	zh	3	0.9445288252	0.9416555605	0.9401835949	0.9311953353	0.9080808081	0.926056338	0.9284140969	0.9307502061
3	en	en	3	0.8866803143	0.8839034503	0.8759253776	0.8577259475	0.8181818182	0.8424295775	0.813876652	0.879637263
4	en	ar	3	0.954962689	0.9530579002	0.9529167901	0.9463556851	0.9313131313	0.9383802817	0.9383259912	0.9505358615
4	en	es	3	0.9579343591	0.9558714645	0.9600236897	0.9469387755	0.9404040404	0.9401408451	0.9306167401	0.9488870569
4	en	fr	3	0.9582645447	0.9539463942	0.956174119	0.9457725948	0.9282828283	0.9445422535	0.9372246696	0.9414674361
4	en	ru	3	0.9463118272	0.9449133718	0.9472904945	0.9411078717	0.9222222222	0.9330985915	0.9251101322	0.9406430338
4	en	zh	3	0.9500099056	0.9455057012	0.9472904945	0.9352769679	0.9171717172	0.923415493	0.9162995595	0.9348722176
4	en	en	3	0.9008782936	0.9012290834	0.9034646136	0.8862973761	0.8646464646	0.8697183099	0.8381057269	0.8985985161
