layer	source	target	run	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	clf	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	list	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	reparandum	vocative	xcomp
3	en	zh	2	0.8166	0.7233	0.8697	0.8104	0.4717	0.9432	0.9637	0.9697	0.7398		0.7686	0.8522	0.9142	0.3684	0	0.9796	0.6566		0.871	0.9839	0.8032	0.3571	0.6866	0.544	0.9476	0.8686	0.9403	0.8429	0.8812	0.8253	0	0.3854	0	0.4	0.7982
3	en	en	2	0.4156	0.3898	0.7417	0.6821	0.2109	0.8803	0.9234	0.9609	0.4968		0.6552	0.5657	0.8081	0.0769	0	0.9756	0.5233		0.7937	0.9593	0.6488	0.2857	0.6	0.5431	0.8486	0.6904	0.8405	0.7515	0.7416	0.5926	0	0.1095	0	0.2609	0.6119
4	en	ar	2	0.8358	0.7732	0.8784	0.8534	0.5628	0.9463	0.9693	0.9732	0.7983		0.7893	0.8511	0.9269	0.4737	0	0.989	0.6138		0.8819	0.9524	0.754	0.2222	0.7353	0.6585	0.9462	0.8883	0.9493	0.8603	0.9029	0.8597	0	0.3937	0	0.4286	0.8247
4	en	es	2	0.8624	0.7583	0.8768	0.86	0.5899	0.9523	0.9716	0.9691	0.8095		0.796	0.8693	0.9368	0.4211	0	0.9903	0.6408		0.9023	0.9677	0.8308	0.08	0.6757	0.7356	0.9543	0.896	0.9493	0.855	0.9121	0.8644	0	0.4558	0	0.5185	0.8314
4	en	fr	2	0.8654	0.7551	0.8875	0.8512	0.5211	0.9578	0.97	0.9669	0.7824		0.8055	0.8699	0.9435	0.2632	0	0.9892	0.5907		0.8455	0.9593	0.7938	0	0.7733	0.6291	0.9529	0.8985	0.9514	0.8651	0.9113	0.8637	0	0.4438	0	0.4615	0.8235
4	en	ru	2	0.8304	0.7674	0.8541	0.8265	0.546	0.9351	0.9667	0.9642	0.7648		0.7945	0.8505	0.906	0.3158	0	0.9863	0.6289		0.8504	0.9431	0.7861	0.1714	0.7353	0.6139	0.9425	0.8788	0.9435	0.8258	0.8982	0.8242	0	0.4686	0	0.5	0.7941
4	en	zh	2	0.8286	0.7346	0.8515	0.8214	0.5644	0.9369	0.9632	0.9746	0.8088		0.7808	0.8606	0.9079	0.2857	0	0.985	0.6042		0.873	0.9683	0.8107	0.2727	0.7222	0.7018	0.9458	0.8799	0.9423	0.8376	0.8748	0.8391	0	0.4444	0	0.4615	0.7802
4	en	en	2	0.5543	0.427	0.7575	0.6888	0.4216	0.8855	0.9285	0.9634	0.5585		0.6748	0.7133	0.8332	0.0769	0	0.9732	0.5838		0.8346	0.918	0.6781	0.24	0.7671	0.5661	0.8601	0.7522	0.8732	0.714	0.7902	0.6631	0	0.1544	0	0.4	0.6273
0	en	ar	3	0.5678	0.3639	0.8263	0.7816	0.2357	0.8607	0.9266	0.9672	0.4965		0.5136	0.2934	0.8382	0.1622	0	0.9703	0.5465		0.8333	0.9524	0.5951	0	0.4918	0.0679	0.8319	0.6165	0.7263	0.7622	0.5915	0.4512	0	0	0	0.1739	0.5735
0	en	es	3	0.5815	0.3628	0.7905	0.7828	0.1435	0.862	0.9186	0.9658	0.5011		0.53	0.2966	0.8412	0.0571	0	0.9734	0.5318		0.7833	0.9449	0.5567	0	0.5333	0.0608	0.8158	0.6298	0.7283	0.771	0.5743	0.4706	0	0.0563	0	0.0909	0.6008
0	en	fr	3	0.5731	0.3442	0.8112	0.7711	0.2562	0.8451	0.9229	0.9621	0.5443		0.5297	0.3157	0.852	0.1818	0	0.9707	0.5465		0.7797	0.9375	0.5626	0	0.5231	0.1443	0.8252	0.6128	0.727	0.7772	0.5841	0.4679	0	0.0377	0	0.0952	0.5908
