layer	source	target	run	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	clf	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	list	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	reparandum	vocative	xcomp
1	es	en	2	0.7405	0.5455	0.8704	0.8642	0.5907	0.9284	0.9806	0.9713	0.6667		0	0.6532	0.8935	0.4615	0.5	0.9837				0.9153	0.7704		0.877		0.9457	0.8632	0.6711	0.8977	0.6881	0.7274		0.0548			0.6783
2	es	en	2	0.7512	0.5587	0.8598	0.8726	0.5325	0.9352	0.9793	0.9672	0.7093		0	0.6674	0.9006	0.52	0.5333	0.986				0.9205	0.7857		0.8798		0.9226	0.8606	0.7211	0.8977	0.7233	0.7411		0.122			0.6555
3	es	en	2	0.8055	0.5836	0.8942	0.8809	0.6325	0.9384	0.9808	0.9767	0.7093		0	0.7453	0.9012	0.6182	0.5143	0.9889				0.9283	0.828		0.8969		0.941	0.8976	0.7899	0.9127	0.783	0.8143		0.1026			0.7244
4	es	en	2	0.8585	0.7752	0.8898	0.8933	0.7147	0.9602	0.9817	0.9711	0.8537		0	0.8989	0.9258	0.5517	0.5455	0.9852				0.9593	0.8518		0.8894		0.9327	0.9333	0.8809	0.9167	0.8348	0.8789		0.6202			0.8167
0	es	en	3	0.6048	0.3929	0.8685	0.7723	0.3571	0.8945	0.9759	0.9589	0.4648		0	0.2776	0.8708	0.3396	0.5	0.9714				0.8402	0.5263		0.8844		0.9105	0.6751	0.4	0.8516	0.5437	0.5703		0			0.5254
1	es	en	3	0.7594	0.5401	0.883	0.8619	0.5749	0.9256	0.9823	0.9699	0.6923		0	0.6617	0.8851	0.5424	0.5333	0.9837				0.9191	0.7734		0.8758		0.9444	0.8597	0.6572	0.8778	0.6994	0.714		0.1316			0.65
2	es	en	3	0.7596	0.5831	0.8689	0.8788	0.5664	0.9535	0.9811	0.9646	0.6747		0	0.6703	0.9263	0.5091	0.5806	0.9863				0.9328	0.8		0.9		0.9399	0.8617	0.7271	0.8895	0.7581	0.7504		0.122			0.6772
3	es	en	3	0.7807	0.5791	0.8906	0.8794	0.6516	0.9461	0.982	0.974	0.7356		0	0.746	0.9123	0.6316	0.5161	0.9874				0.906	0.8213		0.8889		0.9414	0.8955	0.7712	0.9056	0.7725	0.8142		0.1798			0.7328
4	es	en	3	0.8571	0.8013	0.8883	0.8973	0.7293	0.9645	0.9797	0.9711	0.8452		0	0.8941	0.9181	0.5667	0.5625	0.9854				0.9512	0.8449		0.8959		0.9329	0.9315	0.8769	0.9086	0.8341	0.881		0.6202			0.7705
0	fr	en	1	0.6831	0.3919	0.8851	0.7817	0.1882	0.8853	0.9624	0.9624	0.3366		0.1961	0.314	0.8696	0	0	0.974	0.2857		0.5618	0.9014	0.5269		0.5667		0.8348	0.7413	0.6672	0.8693	0.5308	0.5484		0			0.5116
1	fr	en	1	0.746	0.5561	0.9065	0.8512	0.5128	0.9336	0.9755	0.9627	0.6032		0.2222	0.6656	0.8947	0	0	0.9846	0		0.6517	0.9371	0.7897		0.7		0.9095	0.8765	0.8493	0.8794	0.7469	0.7306		0.0588			0.6494
2	fr	en	1	0.7607	0.5667	0.8925	0.8595	0.4935	0.9436	0.9746	0.9606	0.6555		0.2069	0.7233	0.8941	0	0	0.9798	0.3333		0.5217	0.9435	0.7799		0.7018		0.9115	0.8926	0.8848	0.9007	0.7843	0.7627		0.1111			0.6667
3	fr	en	1	0.8092	0.6369	0.9219	0.8782	0.6106	0.939	0.978	0.9685	0.5636		0.2667	0.7843	0.9333	0	0	0.9838	0.2857		0.5333	0.9359	0.8254		0.6531		0.9217	0.9183	0.9133	0.9014	0.8156	0.8322		0.0889			0.6818
4	fr	en	1	0.8536	0.7676	0.9101	0.8907	0.7154	0.9588	0.9845	0.9724	0.7797		0.3438	0.8654	0.9328	0	0	0.986	0		0.6122	0.9524	0.8125		0.7273		0.9159	0.943	0.9554	0.9241	0.8525	0.8875		0.2727			0.6988
0	fr	en	2	0.664	0.3066	0.8728	0.7762	0.2048	0.8737	0.9624	0.9548	0.3168		0.1852	0.3518	0.8429	0	0	0.9776	0.3333		0.5532	0.8857	0.5119		0.6102		0.841	0.7454	0.6545	0.8612	0.5319	0.5374		0			0.5476
1	fr	en	2	0.7333	0.5185	0.898	0.8631	0.5462	0.9303	0.9739	0.9625	0.5932		0.1887	0.6789	0.8992	0	0	0.9838	0.3333		0.6526	0.9341	0.7732		0.6866		0.8889	0.8759	0.8511	0.8912	0.7625	0.732		0.0571			0.642
2	fr	en	2	0.7764	0.5419	0.8939	0.8689	0.511	0.9434	0.9754	0.9591	0.6935		0.2414	0.7406	0.9042	0	0	0.982	0		0.5287	0.9352	0.7938		0.7097		0.8844	0.8823	0.8857	0.892	0.7773	0.7579		0.1463			0.642
3	fr	en	2	0.7927	0.6286	0.9281	0.8763	0.5975	0.9441	0.9795	0.9723	0.541		0.2857	0.7857	0.9202	0	0	0.9853	0.2857		0.56	0.9441	0.83		0.7333		0.9177	0.9225	0.9153	0.9066	0.8065	0.8236		0			0.65
4	fr	en	2	0.8454	0.7619	0.9138	0.8859	0.716	0.9625	0.9845	0.9685	0.8305		0.2951	0.8653	0.9389	0	0	0.9864	0		0.617	0.9497	0.8032		0.7368		0.922	0.9437	0.9492	0.9172	0.851	0.8883		0.2381			0.7333
0	fr	en	3	0.6747	0.3008	0.88	0.7922	0.2192	0.8916	0.9635	0.9569	0.3146		0.2	0.3451	0.8815	0	0	0.9783	0.3333		0.5747	0.8933	0.5239		0.597		0.8405	0.7383	0.6738	0.8732	0.5564	0.5369		0			0.4935
1	fr	en	3	0.7409	0.5098	0.9003	0.8589	0.5022	0.9356	0.9777	0.9606	0.5902		0.2222	0.6716	0.9	0	0	0.9849	0.3333		0.5783	0.9371	0.7692		0.6667		0.8998	0.8787	0.846	0.8842	0.75	0.735		0.0588			0.5946
2	fr	en	3	0.7613	0.5775	0.9005	0.8644	0.5202	0.9389	0.9749	0.955	0.6207		0.2333	0.7356	0.8897	0	0	0.9798	0.3333		0.56	0.9516	0.813		0.6441		0.8972	0.883	0.8859	0.8944	0.7657	0.7519		0.1667			0.619
3	fr	en	3	0.8107	0.6077	0.9152	0.8818	0.6204	0.9421	0.9788	0.9723	0.5946		0.2712	0.7884	0.9272	0	0	0.9853	0.3333		0.5941	0.9359	0.8571		0.6316		0.9177	0.9272	0.9166	0.8982	0.8076	0.8239		0.0465			0.6506
4	fr	en	3	0.8367	0.7807	0.9116	0.8958	0.687	0.9605	0.9834	0.9765	0.8167		0.2951	0.864	0.9421	0	0	0.9856	0		0.617	0.9605	0.8226		0.7241		0.9345	0.9472	0.9525	0.9135	0.8582	0.8934		0.2439			0.6829
0	ru	en	1	0.4778	0.3158	0.7679	0.6494	0.1946	0.8834	0.9683	0.9759	0.32		0.4444	0.2454	0.7111		0	0.9065	0.6735			0.8525	0.3787	0.7282	0.3735	0.1915	0.8224	0.6907	0.5448	0.7733	0.4619	0.6245	0	0.1099		0	0.6667
1	ru	en	1	0.6959	0.433	0.7734	0.8862	0.5026	0.9405	0.9738	0.9816	0.3793		0.8333	0.6921	0.8031		0	0.9186	0.7544			0.8615	0.6423	0.9618	0.3882	0.5743	0.8807	0.7921	0.7484	0.8383	0.5987	0.834	0	0.268		0	0.8054
2	ru	en	1	0.7486	0.5294	0.779	0.9086	0.531	0.9461	0.9745	0.9785	0.6316		0.8333	0.7628	0.8281		0	0.9349	0.7107			0.806	0.6692	0.9183	0.3913	0.6435	0.9444	0.8141	0.7768	0.8459	0.6198	0.8327	0.0435	0.4356		0	0.8
3	ru	en	1	0.7375	0.495	0.7774	0.9058	0.578	0.9512	0.9789	0.9742	0.5714		0.8333	0.7683	0.8504		0	0.9357	0.7273			0.8358	0.6777	0.9354	0.407	0.6496	0.8704	0.8138	0.8062	0.8404	0.6395	0.8333	0.0851	0.4685		0	0.8364
4	ru	en	1	0.7479	0.566	0.774	0.9118	0.6346	0.9753	0.9841	0.9741	0.7576		0.7273	0.8554	0.916		0	0.9208	0.7143			0.8824	0.6883	0.9301	0.4792	0.697	0.8762	0.8384	0.7822	0.8571	0.6492	0.8608	0.0426	0.547		0	0.8696
0	ru	en	2	0.474	0.2927	0.7596	0.6478	0.1893	0.907	0.9695	0.9744	0.2692		0.4	0.2255	0.7167		0	0.8934	0.7273			0.8333	0.3933	0.7324	0.3333	0.1772	0.8288	0.6879	0.5356	0.7823	0.4739	0.6248	0	0.1684		0	0.7027
1	ru	en	2	0.6979	0.4381	0.7797	0.8873	0.5172	0.9231	0.9733	0.9771	0.449		0.6	0.6869	0.8		0	0.9226	0.7568			0.8571	0.6367	0.9412	0.4492	0.5319	0.8727	0.7904	0.74	0.8377	0.5848	0.8334	0.0435	0.1961		0	0.7778
2	ru	en	2	0.738	0.5283	0.7895	0.9069	0.5295	0.9467	0.9752	0.9771	0.5714		0.8333	0.7706	0.843		0	0.9381	0.6838			0.8615	0.6463	0.9126	0.3977	0.6949	0.9273	0.8171	0.7874	0.8543	0.6274	0.8336	0	0.4314		0	0.8333
3	ru	en	2	0.7159	0.5505	0.7913	0.9072	0.5631	0.9524	0.9777	0.9755	0.6102		0.7273	0.7676	0.85		0	0.9275	0.7069			0.8529	0.684	0.9261	0.386	0.6142	0.8991	0.8284	0.807	0.86	0.6395	0.8438	0.0435	0.4688		0	0.8364
4	ru	en	2	0.767	0.6306	0.7758	0.9097	0.6414	0.9524	0.9841	0.9681	0.8		0.7273	0.8629	0.8871		0	0.9357	0.7018			0.8889	0.6992	0.9261	0.4469	0.7107	0.8411	0.8379	0.7871	0.8658	0.6569	0.8523	0.0426	0.5667		0	0.875
0	ru	en	3	0.4558	0.2821	0.7688	0.6468	0.2278	0.924	0.9696	0.9729	0.2917		0.4444	0.216	0.75		0	0.9065	0.7091			0.8125	0.3699	0.7321	0.3014	0.0988	0.8257	0.6766	0.5352	0.7736	0.5078	0.6233	0	0.1263		0	0.6541
1	ru	en	3	0.7108	0.4565	0.7726	0.8866	0.5237	0.9341	0.973	0.9801	0.4643		0.8333	0.7016	0.8062		0	0.9267	0.7563			0.8387	0.6568	0.9541	0.4176	0.6055	0.8673	0.7961	0.7458	0.8278	0.5753	0.8253	0	0.2913		0	0.805
2	ru	en	3	0.774	0.6	0.7919	0.9068	0.5502	0.9325	0.9737	0.9829	0.6667		0.7273	0.7788	0.8527		0	0.9302	0.6957			0.8529	0.6694	0.9151	0.3926	0.6667	0.9091	0.8183	0.7881	0.8525	0.6268	0.8342	0.5246	0.466		0	0.8129
3	ru	en	3	0.7365	0.5664	0.7788	0.9073	0.5757	0.9455	0.9773	0.9697	0.6296		0.8333	0.7596	0.8372		0	0.9368	0.72			0.8485	0.6721	0.9407	0.4309	0.6119	0.8807	0.8152	0.8	0.8459	0.6453	0.8399	0.0426	0.5649		0	0.8519
4	ru	en	3	0.7514	0.5825	0.7788	0.9062	0.6192	0.9639	0.982	0.9666	0.7353		0.7273	0.854	0.912		0	0.9263	0.7059			0.875	0.6777	0.9299	0.3804	0.7179	0.8411	0.8354	0.7866	0.8581	0.6496	0.8528	0.0435	0.5217		0	0.8553
0	zh	en	1	0.4319	0.1111	0.6023	0.4558	0.0364	0.7846	0.6628	0.8357	0.3072	0.5504		0.2179	0.6625	0	0.2038	0.2571	0.5	0			0.3429		0		0.6358	0.4461	0.3354	0.8748	0.3952	0.0913					0.1714
1	zh	en	1	0.5581	0.2222	0.6376	0.4902	0.5089	0.8029	0.7114	0.8483	0.4829	0.7801		0.7678	0.7038	0	0.4107	0.6707	0.72	0.1667			0.88		0		0.7338	0.6317	0.6249	0.9208	0.7183	0.5102					0.4348
2	zh	en	1	0.5765	0.125	0.6137	0.4437	0.5089	0.7956	0.7135	0.8481	0.5486	0.7626		0.8315	0.6801	0.0526	0.4418	0.6827	0.7692	0			0.92		0		0.7242	0.6306	0.635	0.9281	0.7645	0.5093					0.417
3	zh	en	1	0.6139	0.2222	0.6098	0.4883	0.5529	0.7726	0.7273	0.8442	0.594	0.7824		0.8676	0.7052	0.186	0.6093	0.7311	0.875	0			0.9231		0		0.729	0.6538	0.6783	0.9275	0.7965	0.5061					0.4496
4	zh	en	1	0.6331	0.2222	0.6106	0.4861	0.6023	0.7971	0.738	0.8424	0.6518	0.7441		0.8909	0.7333	0.15	0.6656	0.7204	0.8485	0			0.8		0		0.7373	0.6605	0.6867	0.9288	0.8251	0.4961					0.4788
0	zh	en	2	0.4363	0.125	0.6235	0.4967	0.0187	0.7799	0.664	0.8222	0.3197	0.5504		0.2059	0.6563	0	0.1979	0.2716	0.5	0			0.2941		0		0.6338	0.4487	0.3199	0.8722	0.388	0.0632					0.2266
1	zh	en	2	0.5354	0.2222	0.6168	0.4839	0.5089	0.7955	0.7094	0.8409	0.4951	0.7798		0.7653	0.7062	0	0.4008	0.6814	0.8148	0.1667			0.88		0		0.7181	0.6325	0.6109	0.9212	0.7154	0.4737					0.4093
2	zh	en	2	0.5717	0.125	0.6171	0.4328	0.5122	0.8015	0.6946	0.8457	0.5294	0.7591		0.8302	0.6842	0.1429	0.4403	0.6865	0.7692	0			0.898		0		0.6959	0.6401	0.6468	0.9254	0.7616	0.5158					0.3891
3	zh	en	2	0.6325	0.2222	0.6113	0.4967	0.5581	0.7742	0.7273	0.8506	0.5873	0.7536		0.8704	0.7041	0	0.6489	0.7182	0.8387	0			0.902		0		0.725	0.6536	0.6724	0.9275	0.8049	0.5039					0.4511
4	zh	en	2	0.6382	0.2222	0.6208	0.4637	0.6298	0.7927	0.7466	0.8433	0.6327	0.7552		0.8941	0.7316	0.15	0.639	0.7288	0.8125	0			0.8214		0		0.7206	0.6655	0.6943	0.924	0.8235	0.5314					0.4355
0	zh	en	3	0.4349	0.125	0.6212	0.4968	0.082	0.7846	0.6612	0.8523	0.3072	0.5608		0.1945	0.6603	0	0.2058	0.2553	0.5	0			0.303		0		0.6372	0.4512	0.3558	0.8766	0.3823	0.0846					0.1608
1	zh	en	3	0.5473	0.1176	0.6451	0.4792	0.5059	0.8073	0.7038	0.8523	0.4851	0.7738		0.7655	0.6821	0.0513	0.3524	0.6691	0.6087	0			0.8627		0		0.7261	0.6253	0.6161	0.9129	0.7153	0.4367					0.4387
2	zh	en	3	0.579	0.125	0.6046	0.4483	0.5119	0.7927	0.7051	0.8448	0.5527	0.7512		0.8299	0.7156	0.1026	0.4476	0.693	0.7143	0			0.898		0		0.6985	0.6339	0.6397	0.9246	0.7609	0.5157					0.373
3	zh	en	3	0.634	0.1176	0.6	0.5	0.5818	0.7726	0.7264	0.8481	0.6039	0.7748		0.8756	0.7178	0.0976	0.6184	0.7207	0.8667	0			0.902		0		0.7293	0.6538	0.6776	0.9343	0.8067	0.5372					0.432
4	zh	en	3	0.628	0.2353	0.606	0.4814	0.6199	0.8014	0.7368	0.8391	0.6421	0.7535		0.8994	0.7262	0.1463	0.654	0.7157	0.8667	0			0.8214		0		0.7335	0.6654	0.6837	0.9279	0.821	0.5318					0.4667
