layer	source	target	run	dist1	dist2	dist3	dist4	dist5	dist6-7	dist8-10	dist10-
2	zh	en	1	0.7182466871	0.7145069695	0.7	0.7	0.720703125	0.6907073509	0.746365105	0.6912955466
3	zh	en	1	0.7227319062	0.7480640165	0.7240740741	0.7306666667	0.76171875	0.7142857143	0.7835218094	0.7591093117
4	zh	en	1	0.7300713558	0.7480640165	0.7148148148	0.764	0.76953125	0.7628294036	0.7851373183	0.7813765182
0	ar	en	2	0.7903559871	0.5861034164	0.5624691358	0.5098712446	0.4711673699	0.4412698413	0.4025974026	0.6075022873
1	ar	en	2	0.8576699029	0.7012927054	0.6790123457	0.6721030043	0.6329113924	0.6158730159	0.5909090909	0.7122598353
2	ar	en	2	0.8607119741	0.722299169	0.6834567901	0.6763948498	0.6526019691	0.6412698413	0.625974026	0.7374199451
3	ar	en	2	0.8702265372	0.7266851339	0.6967901235	0.6798283262	0.6596343179	0.6465608466	0.638961039	0.7438243367
4	ar	en	2	0.8663430421	0.7315327793	0.7150617284	0.6918454936	0.6779184248	0.6476190476	0.6337662338	0.7378774016
0	es	en	2	0.8997750051	0.7986923606	0.700228833	0.6	0.5702917772	0.6018957346	0.5388739946	0.6313672922
1	es	en	2	0.9282061771	0.9029593944	0.8436308162	0.78	0.6949602122	0.6706161137	0.6514745308	0.7024128686
2	es	en	2	0.9298425036	0.9026152787	0.8527841342	0.7890909091	0.7029177719	0.7274881517	0.6434316354	0.7158176944
3	es	en	2	0.9382286766	0.9232622161	0.8749046529	0.8309090909	0.774535809	0.8033175355	0.7292225201	0.7707774799
4	es	en	2	0.9423194927	0.9401238816	0.9000762777	0.86	0.8594164456	0.9028436019	0.8659517426	0.8927613941
0	fr	en	2	0.9024890942	0.8023205844	0.7414847162	0.6431372549	0.620795107	0.5989847716	0.6142433234	0.6971514243
1	fr	en	2	0.9296895047	0.9144821659	0.8611353712	0.8019607843	0.7339449541	0.730964467	0.7091988131	0.7781109445
2	fr	en	2	0.9291762895	0.9093253116	0.8777292576	0.8470588235	0.7737003058	0.7461928934	0.7715133531	0.7991004498
3	fr	en	2	0.9368745189	0.9286635153	0.9109170306	0.8568627451	0.8256880734	0.807106599	0.8011869436	0.8260869565
4	fr	en	2	0.9417500642	0.9419853889	0.9336244541	0.8843137255	0.877675841	0.8807106599	0.9050445104	0.8845577211
0	ru	en	2	0.7802064359	0.6755879968	0.6115384615	0.5877342419	0.6341463415	0.5711422846	0.6230366492	0.6666666667
1	ru	en	2	0.8526614046	0.8442822384	0.7817307692	0.7768313458	0.7777777778	0.7354709419	0.7591623037	0.7450980392
2	ru	en	2	0.8650070836	0.8511759935	0.8125	0.8109028961	0.8319783198	0.7775551102	0.7958115183	0.7978883861
3	ru	en	2	0.8706739526	0.8613138686	0.8173076923	0.8074957411	0.8184281843	0.7835671343	0.8010471204	0.814479638
4	ru	en	2	0.8678405181	0.8742903487	0.8336538462	0.8211243612	0.8617886179	0.8216432866	0.8429319372	0.8521870287
0	zh	en	2	0.6485219164	0.4785751162	0.4472222222	0.5053333333	0.5078125	0.4563106796	0.5185783522	0.4858299595
1	zh	en	2	0.7119266055	0.7077955601	0.6740740741	0.6933333333	0.705078125	0.6601941748	0.7285945073	0.6670040486
2	zh	en	2	0.7119266055	0.7201858544	0.7018518519	0.716	0.7109375	0.693481276	0.7479806139	0.6821862348
3	zh	en	2	0.7221202854	0.7434176562	0.7231481481	0.7306666667	0.755859375	0.7226074896	0.7899838449	0.7722672065
