layer	source	target	run	dist1	dist2	dist3	dist4	dist5	dist6-7	dist8-10	dist10-
3	en	zh	2	0.8284966995	0.8319088319	0.7756897241	0.7527296082	0.7166666667	0.7196110211	0.7317073171	0.7634408602
3	en	en	2	0.7662224436	0.7338556505	0.6381447421	0.5921644188	0.5617647059	0.5559157212	0.5457317073	0.5958781362
4	en	ar	2	0.8382114834	0.8449667616	0.7960815674	0.7803468208	0.7460784314	0.744732577	0.7215447154	0.7580645161
4	en	es	2	0.8416988417	0.8376068376	0.7984806078	0.7790622993	0.7421568627	0.7406807131	0.7347560976	0.7562724014
4	en	fr	2	0.8353468676	0.8376068376	0.800079968	0.7707129094	0.75	0.7212317666	0.737804878	0.7607526882
4	en	ru	2	0.8253829867	0.8297720798	0.7860855658	0.7572254335	0.712745098	0.7034035656	0.700203252	0.729390681
4	en	zh	2	0.8296176361	0.8364197531	0.7916833267	0.777135517	0.7284313725	0.7147487844	0.7306910569	0.7383512545
4	en	en	2	0.7725744177	0.7637701804	0.6885245902	0.6435452794	0.6068627451	0.5818476499	0.5884146341	0.6129032258
0	en	ar	3	0.7844065263	0.7101139601	0.6221511395	0.6005138086	0.562745098	0.546191248	0.5426829268	0.5707885305
0	en	es	3	0.7851538174	0.7113010446	0.6021591363	0.5966602441	0.5490196078	0.5421393841	0.5396341463	0.5609318996
0	en	fr	3	0.7876447876	0.7039411206	0.6101559376	0.6017983301	0.5490196078	0.5243111831	0.5396341463	0.5734767025
0	en	ru	3	0.7834101382	0.7084520418	0.6153538585	0.5979447656	0.5558823529	0.5437601297	0.5355691057	0.564516129
0	en	zh	3	0.7845310749	0.6989553656	0.6033586565	0.5857418112	0.5480392157	0.5445705024	0.5284552846	0.5716845878
0	en	en	3	0.7492838461	0.6631054131	0.5613754498	0.5484906872	0.4921568627	0.4927066451	0.4949186992	0.5161290323
1	en	ar	3	0.8277494084	0.8224121557	0.7405037985	0.6981374438	0.6539215686	0.6588330632	0.6524390244	0.6971326165
1	en	es	3	0.8273757629	0.8219373219	0.7520991603	0.710982659	0.6862745098	0.6742301459	0.6880081301	0.7025089606
1	en	fr	3	0.8253829867	0.8081671415	0.7321071571	0.6846499679	0.6411764706	0.6426256078	0.6260162602	0.6523297491
1	en	ru	3	0.8212728858	0.8110161443	0.7429028389	0.7174052665	0.687254902	0.6661264182	0.674796748	0.7051971326
1	en	zh	3	0.8174118819	0.8098290598	0.74970012	0.7186897881	0.681372549	0.6734197731	0.674796748	0.7213261649
1	en	en	3	0.786025657	0.7307692308	0.6217512995	0.594091201	0.5352941176	0.5316045381	0.5274390244	0.5510752688
2	en	ar	3	0.8247602441	0.8307217474	0.768892443	0.7308927425	0.7107843137	0.6977309562	0.706300813	0.7365591398
2	en	es	3	0.8281230539	0.8290598291	0.7600959616	0.7244701349	0.6882352941	0.6742301459	0.6971544715	0.7141577061
2	en	fr	3	0.8294930876	0.8228869896	0.75009996	0.7212588311	0.6852941176	0.6758508914	0.6839430894	0.7168458781
2	en	ru	3	0.8166645909	0.8050807217	0.7457017193	0.7116249197	0.6892156863	0.6766612642	0.6666666667	0.7302867384
2	en	zh	3	0.8109353593	0.8057929725	0.7516993203	0.7251123956	0.6931372549	0.6839546191	0.7205284553	0.7356630824
2	en	en	3	0.7875202391	0.7329059829	0.6341463415	0.5908798972	0.5578431373	0.5243111831	0.5406504065	0.5833333333
3	en	ar	3	0.8311122182	0.8347578348	0.7832866853	0.7514450867	0.7264705882	0.7236628849	0.7205284553	0.7482078853
3	en	es	3	0.8358450617	0.8378442545	0.775289884	0.7565831728	0.7117647059	0.7196110211	0.7083333333	0.7428315412
3	en	fr	3	0.8321086063	0.8281101614	0.7704918033	0.7385998715	0.7068627451	0.7034035656	0.7073170732	0.7249103943
3	en	ru	3	0.8261302777	0.8264482431	0.7600959616	0.7418111753	0.6931372549	0.6904376013	0.6971544715	0.7258064516
3	en	zh	3	0.8272512143	0.8321462488	0.7744902039	0.7540141297	0.7049019608	0.7212317666	0.7215447154	0.7616487455
3	en	en	3	0.7629841823	0.7355175689	0.6397441024	0.5973025048	0.5539215686	0.5559157212	0.5518292683	0.5887096774
4	en	ar	3	0.8383360319	0.8433048433	0.8032786885	0.7758509955	0.7519607843	0.7366288493	0.7357723577	0.7508960573
4	en	es	3	0.8423215843	0.839031339	0.7988804478	0.777135517	0.7470588235	0.7398703404	0.7418699187	0.7544802867
4	en	fr	3	0.8354714161	0.8423551757	0.7928828469	0.7687861272	0.7519607843	0.7244732577	0.7388211382	0.7607526882
4	en	ru	3	0.828621248	0.8285849953	0.7808876449	0.7604367373	0.7147058824	0.705834684	0.7042682927	0.7231182796
4	en	zh	3	0.8266284718	0.8345204179	0.7888844462	0.7758509955	0.718627451	0.7066450567	0.7276422764	0.7455197133
4	en	en	3	0.7768090671	0.7606837607	0.6853258697	0.6493256262	0.6078431373	0.5729335494	0.5884146341	0.6164874552
