layer	source	target	run	Clauses	Coordination	FunctionWords	Loose	MWE	ModifierWords	Nominals
2	fr	en	1	0.0311	0.0265	0.001	0.0523	-0.0068	0.0004	-0.0002
3	fr	en	1	0.0522	0.0674	0.0033	0.0301	0.0081	0.0233	0.014
4	fr	en	1	0.0918	0.1113	0.0059	0.2139	0.0123	0.0266	0.024
2	fr	en	2	0.0374	0.0321	0.0009	0.0892	0.0102	0.0029	-0.0018
3	fr	en	2	0.0529	0.0648	0.004	-0.0571	0.026	0.0231	0.015
4	fr	en	2	0.0984	0.1063	0.005	0.181	0.0158	0.0243	0.0217
2	fr	en	3	0.0308	0.0359	-0.0009	0.1079	0.0181	0.0039	0.0079
3	fr	en	3	0.0504	0.0722	0.0036	-0.0112	0.0315	0.0233	0.0165
4	fr	en	3	0.09	0.1158	0.006	0.1851	0.0345	0.0287	0.0278
2	ru	en	1	0.0565	0.0327	0.0051	0.1496	0.0128	0.0201	0.0142
3	ru	en	1	0.0669	0.0357	0.006	0.1544	0.0254	0.0232	0.0167
4	ru	en	1	0.0827	0.0831	0.0115	0.2163	0.0389	0.0244	0.0213
2	ru	en	2	0.0716	0.0409	0.0057	0.2382	0.0224	0.0183	0.0162
3	ru	en	2	0.0635	0.0412	0.0063	0.212	0.0413	0.0208	0.0166
4	ru	en	2	0.0998	0.0905	0.0125	0.2956	0.0583	0.0214	0.0249
2	ru	en	3	0.0743	0.0434	0.0026	0.121	0.0166	0.0178	0.0142
3	ru	en	3	0.0642	0.0286	0.006	0.1622	0.0188	0.0186	0.0177
4	ru	en	3	0.0791	0.0783	0.0105	0.1697	0.0215	0.0175	0.0215
2	zh	en	1	0.0031	0.0399	-0.0037		0.04	-0.0403	0.0005
3	zh	en	1	0.0387	0.0657	0.0121		0.0431	-0.0226	0.0113
4	zh	en	1	0.0512	0.0796	0.0091		-0.08	-0.0238	0.0147
2	zh	en	2	0.0143	0.0415	-0.0116		0.018	-0.027	0.0001
3	zh	en	2	0.0639	0.0731	0.0043		0.022	-0.0131	0.0079
4	zh	en	2	0.0749	0.083	0.0096		-0.0586	-0.0177	0.0134
2	zh	en	3	0.0108	0.0357	0.0011		0.0353	-0.0445	0.0051
3	zh	en	3	0.0394	0.072	0.0126		0.0393	-0.0234	0.0142
4	zh	en	3	0.0563	0.0837	0.0162		-0.0413	-0.0272	0.0165
